plot,treatment,colour,year,grain
22,FYM,#FF0000,1997,4.47
3,Nil,#00BFFF,1997,0.77
5,PKMg,#FF00FF,1997,0.92
6,N1 PKMg,#FF4500,1997,3.11
7,N2 PKMg,#9ACD32,1997,5.17
8,N3 PKMg,#00FA9A,1997,6.59
9,N4 PKMg,#00FFFF,1997,7.37
10,N4,#8FBC8F,1998,2.81
11,N4 PMg,#7FFFD4,1998,3.36
12,N1+N3+N1 PKMg,#228B22,1998,3.31
13,N4 PK,#6B8E23,1998,4.46
14,N4 PKMg*,#008080,1998,4.61
15,N5 PKMg,#00008B,1998,8.02
16,N6 PKMg,#7B68EE,1998,8.39
17,N1+N4+N1 PKMg,#32CD32,1998,7.32
18,N1+N2+N1 PKMg,#FFD700,1998,6.94
19,N1+N1+N1 KMg,#FF8C00,1998,2.45
21,FYM N2,#8B0000,1998,8.31
22,FYM,#FF0000,1998,4.65
3,Nil,#00BFFF,1998,1.28
5,PKMg,#FF00FF,1998,1.19
6,N1 PKMg,#FF4500,1998,2.34
7,N2 PKMg,#9ACD32,1998,3.77
8,N3 PKMg,#00FA9A,1998,4.96
9,N4 PKMg,#00FFFF,1998,7.19
10,N4,#8FBC8F,1999,1.23
11,N4 PMg,#7FFFD4,1999,2.54
12,N1+N3+N1 PKMg,#228B22,1999,3.41
13,N4 PK,#6B8E23,1999,5.62
14,N4 PKMg*,#008080,1999,5.42
15,N5 PKMg,#00008B,1999,8.28
16,N6 PKMg,#7B68EE,1999,7.61
17,N1+N4+N1 PKMg,#32CD32,1999,6.91
18,N1+N2+N1 PKMg,#FFD700,1999,6.56
19,N1+N1+N1 KMg,#FF8C00,1999,1.11
21,FYM N2,#8B0000,1999,7.82
22,FYM,#FF0000,1999,4.57
3,Nil,#00BFFF,1999,0.93
5,PKMg,#FF00FF,1999,1.19
6,N1 PKMg,#FF4500,1999,3.14
7,N2 PKMg,#9ACD32,1999,5.19
8,N3 PKMg,#00FA9A,1999,6.42
9,N4 PKMg,#00FFFF,1999,6.92
10,N4,#8FBC8F,2000,2.13
11,N4 PMg,#7FFFD4,2000,2.26
12,N1+N3+N1 PKMg,#228B22,2000,3.61
13,N4 PK,#6B8E23,2000,5.52
14,N4 PKMg*,#008080,2000,4.92
15,N5 PKMg,#00008B,2000,7.29
16,N6 PKMg,#7B68EE,2000,7.79
17,N1+N4+N1 PKMg,#32CD32,2000,7.33
18,N1+N2+N1 PKMg,#FFD700,2000,7.14
19,N1+N1+N1 KMg,#FF8C00,2000,2.12
21,FYM N2,#8B0000,2000,7.35
22,FYM,#FF0000,2000,5.54
3,Nil,#00BFFF,2000,0.73
